Molecule_SMILES,Radical_1_SMILES,Radical_2_SMILES,BDE_kJ_mol,Original_Row,Original_Col,BDE_kcal_mol
[H][H],[H],[H],436.1,H,H,90.58994599
[H]C,[H],[CH3],439,H,CH3,91.19235563
[H]N,[H],[NH2],450.3,H,NH2,93.53967595
[H]O,[H],[OH],498,H,OH,103.4482759
[H]F,[H],[F],571.9,H,F,118.7993353
[H][SiH3],[H],[SiH3],385.3,H,SiH3,80.03739094
[H]P,[H],[PH2],345.3,H,PH2,71.72829248
[H]S,[H],[SH],381.2,H,SH,79.18570835
[H]Cl,[H],[Cl],432.2,H,Cl,89.77980889
[H]C(C)(C)C,C[C](C)C,[H],405.9,Me3C,H,84.31657665
CC(C)(C)C,C[C](C)C,[CH3],365.6,Me3C,CH3,75.94515995
CC(C)(C)N,C[C](C)C,[NH2],360.6,Me3C,NH2,74.90652264
CC(C)(C)O,C[C](C)C,[OH],402.8,Me3C,OH,83.67262152
CC(C)(C)F,C[C](C)C,[F],489.1,Me3C,F,101.5995015
CC(C)(C)[SiH3],C[C](C)C,[SiH3],333.9,Me3C,SiH3,69.36019942
CC(C)(C)P,C[C](C)C,[PH2],279.5,Me3C,PH2,58.05982551
CC(C)(C)S,C[C](C)C,[SH],305.3,Me3C,SH,63.41919402
CC(C)(C)Cl,C[C](C)C,[Cl],357.3,Me3C,Cl,74.22102202
[H]C(C)C,C[CH]C,[H],412.8,Me2HC,H,85.74989614
CC(C)C,C[CH]C,[CH3],369.7,Me2HC,CH3,76.79684254
CC(C)N,C[CH]C,[NH2],361,Me2HC,NH2,74.98961363
CC(C)O,C[CH]C,[OH],399.7,Me2HC,OH,83.02866639
CC(C)F,C[CH]C,[F],483.1,Me2HC,F,100.3531367
CC(C)[SiH3],C[CH]C,[SiH3],342.3,Me2HC,SiH3,71.1051101
CC(C)P,C[CH]C,[PH2],284.9,Me2HC,PH2,59.1815538
CC(C)S,C[CH]C,[SH],308,Me2HC,SH,63.98005816
CC(C)Cl,C[CH]C,[Cl],357,Me2HC,Cl,74.15870378
[H]CC,[CH2]C,[H],424,MeH2C,H,88.07644371
CCC,[CH2]C,[CH3],373.3,MeH2C,CH3,77.5446614
CCN,[CH2]C,[NH2],357.9,MeH2C,NH2,74.3456585
CCO,[CH2]C,[OH],394,MeH2C,OH,81.84461986
CCF,[CH2]C,[F],474.3,MeH2C,F,98.52513502
CC[SiH3],[CH2]C,[SiH3],355.2,MeH2C,SiH3,73.78479435
CCP,[CH2]C,[PH2],291.2,MeH2C,PH2,60.49023681
CCS,[CH2]C,[SH],308.8,MeH2C,SH,64.14624013
CCCl,[CH2]C,[Cl],354.7,MeH2C,Cl,73.68093062
[H]C,[CH3],[H],439,H3C,H,91.19235563
CC,[CH3],[CH3],377.9,H3C,CH3,78.50020773
CN,[CH3],[NH2],354.6,H3C,NH2,73.66015787
CO,[CH3],[OH],385.6,H3C,OH,80.09970918
CF,[CH3],[F],462.9,H3C,F,96.15704196
C[SiH3],[CH3],[SiH3],372.4,H3C,SiH3,77.35770669
CP,[CH3],[PH2],300.4,H3C,PH2,62.40132946
CS,[CH3],[SH],311.7,H3C,SH,64.74864977
